tpo	abs	sal
2.4495	0.5182	0.0001
2.4611	0.5499	0.0008
2.4727	0.6096	0.0015
2.4842	0.7791	0.0048
2.4958	1.0066	0.0103
2.5073	1.3260	0.0148
2.5189	1.7310	0.0233
2.5304	2.1805	0.0363
2.5420	2.6748	0.0451
2.5535	3.1643	0.0574
2.5651	3.9488	0.0740
2.5766	4.8385	0.0866
2.5882	5.8299	0.1005
2.5998	7.1200	0.1189
2.6113	9.0850	0.1335
2.6229	12.1120	0.1484
2.6344	16.4971	0.1642
2.6460	25.4467	0.1808
2.6575	42.5760	0.2001
2.6691	71.7206	0.2223
2.6806	114.6289	0.2476
2.6922	177.3329	0.2754
2.7037	246.3466	0.3005
2.7153	316.3820	0.3244
2.7269	375.0267	0.3486
2.7384	412.4557	0.3681
2.7500	433.9188	0.3852
2.7615	443.1640	0.4023
2.7731	440.7741	0.4169
2.7846	433.8674	0.4327
2.7962	424.0579	0.4492
2.8077	411.7243	0.4648
2.8193	397.1230	0.4836
2.8308	381.1016	0.5006
2.8424	362.4441	0.5166
2.8540	344.8791	0.5377
2.8655	333.8520	0.5559
2.8771	328.7886	0.5714
2.8886	326.9079	0.5943
2.9002	320.4024	0.6135
2.9117	307.2984	0.6283
2.9233	285.5987	0.6509
2.9348	254.3720	0.6728
2.9464	223.7862	0.6875
2.9579	196.6991	0.7070
2.9695	169.7949	0.7263
2.9811	144.7316	0.7390
2.9926	126.2988	0.7523
3.0042	109.2496	0.7675
3.0157	93.1330	0.7800
3.0273	80.6548	0.7901
3.0388	71.4589	0.8032
3.0504	63.1731	0.8176
3.0619	55.8907	0.8271
3.0735	50.5381	0.8386
3.0850	46.1769	0.8569
3.0966	41.9834	0.8688
3.1081	38.3110	0.8796
3.1197	35.6196	0.8999
3.1313	33.2325	0.9135
3.1428	30.6464	0.9215
3.1544	28.5523	0.9403
3.1659	26.8187	0.9575
3.1775	24.9643	0.9660
3.1890	22.9733	0.9831
3.2006	21.4702	1.0057
3.2121	20.2203	1.0206
3.2237	18.8906	1.0275
3.2352	17.7255	1.0490
3.2468	16.7280	1.0562
3.2584	15.7829	1.0730
3.2699	14.8635	1.0935
3.2815	14.1024	1.1108
3.2930	13.5102	1.1278
3.3046	12.8588	1.1358
3.3161	12.1730	1.1547
3.3277	11.6530	1.1631
3.3392	11.2351	1.1751
3.3508	10.7519	1.1928
3.3623	10.1462	1.2032
3.3739	9.5896	1.2119
3.3855	9.0221	1.2273
3.3970	8.3030	1.2400
3.4086	7.6122	1.2496
3.4201	6.9444	1.2649
3.4317	6.1978	1.2843
3.4432	5.4976	1.2981
3.4548	4.9771	1.3152
3.4663	4.4815	1.3390
3.4779	3.9438	1.3574
3.4894	3.5003	1.3725
3.5010	3.1653	1.3933
3.5126	2.8836	1.4108
3.5241	2.5427	1.4229
3.5357	2.2376	1.4384
3.5472	1.9722	1.4547
3.5588	1.7390	1.4659
3.5703	1.4851	1.4797
3.5819	1.2022	1.4967
3.5934	0.8930	1.5105
3.6050	0.5248	1.5247
3.6165	0.2543	1.5433
3.6281	0.0164	1.5598
3.6397	0.0000	1.5750
3.6512	0.0000	1.5926
3.6628	0.0000	1.6103
3.6743	0.0000	1.6263
3.6859	0.0000	1.6432
3.6974	0.0000	1.6591
3.7090	0.0000	1.6727
3.7205	0.0000	1.6847
3.7321	0.0000	1.6962
3.7436	0.0000	1.7074
3.7552	0.0000	1.7186
