%tpo	abs	sal
%min	mAU	M
2.4495	0.0000	0.0001
2.4611	0.0000	0.0008
2.4727	0.0000	0.0015
2.4842	0.0000	0.0048
2.4958	0.0000	0.0103
2.5073	0.0000	0.0148
2.5189	0.0000	0.0233
2.5304	0.0000	0.0363
2.5420	0.0000	0.0451
2.5535	0.0000	0.0574
2.5651	0.0000	0.0740
2.5766	0.0000	0.0866
2.5882	0.0000	0.1005
2.5998	0.0000	0.1189
2.6113	0.0000	0.1335
2.6229	0.0000	0.1484
2.6344	0.0000	0.1642
2.6460	0.0000	0.1808
2.6575	0.0000	0.2001
2.6691	0.0000	0.2223
2.6806	0.0000	0.2476
2.6922	0.0000	0.2754
2.7037	0.0000	0.3005
2.7153	0.0000	0.3244
2.7269	0.0000	0.3486
2.7384	0.0000	0.3681
2.7500	0.0000	0.3852
2.7615	0.0000	0.4023
2.7731	0.0000	0.4169
2.7846	0.0000	0.4327
2.7962	0.0000	0.4492
2.8077	0.0000	0.4648
2.8193	0.0000	0.4836
2.8308	0.0000	0.5006
2.8424	0.0000	0.5166
2.8540	0.0000	0.5377
2.8655	0.0000	0.5559
2.8771	0.0000	0.5714
2.8886	0.0000	0.5943
2.9002	0.0000	0.6135
2.9117	0.0000	0.6283
2.9233	0.0000	0.6509
2.9348	0.0000	0.6728
2.9464	0.0000	0.6875
2.9579	0.0000	0.7070
2.9695	0.0000	0.7263
2.9811	0.0000	0.7390
2.9926	2.8461	0.7523
3.0042	6.8002	0.7675
3.0157	12.3505	0.7800
3.0273	20.6451	0.7901
3.0388	31.2599	0.8032
3.0504	43.3002	0.8176
3.0619	61.3277	0.8271
3.0735	84.0177	0.8386
3.0850	109.5017	0.8569
3.0966	138.3306	0.8688
3.1081	175.3008	0.8796
3.1197	215.5105	0.8999
3.1313	258.6185	0.9135
3.1428	307.7850	0.9215
3.1544	363.2064	0.9403
3.1659	425.3274	0.9575
3.1775	487.8309	0.9660
3.1890	564.4014	0.9831
3.2006	637.1307	1.0057
3.2121	706.8511	1.0206
3.2237	770.0391	1.0275
3.2352	821.8545	1.0490
3.2468	860.5648	1.0562
3.2584	891.6745	1.0730
3.2699	921.8669	1.0935
3.2815	952.0053	1.1108
3.2930	983.3703	1.1278
3.3046	1014.9067	1.1358
3.3161	1044.2108	1.1547
3.3277	1066.1216	1.1631
3.3392	1082.9759	1.1751
3.3508	1095.7149	1.1928
3.3623	1098.6008	1.2032
3.3739	1094.9589	1.2119
3.3855	1085.0244	1.2273
3.3970	1070.2487	1.2400
3.4086	1060.0411	1.2496
3.4201	1052.7013	1.2649
3.4317	1048.0404	1.2843
3.4432	1042.2873	1.2981
3.4548	1031.6523	1.3152
3.4663	1011.2434	1.3390
3.4779	975.0468	1.3574
3.4894	930.8882	1.3725
3.5010	884.3222	1.3933
3.5126	828.0297	1.4108
3.5241	760.7909	1.4229
3.5357	703.3820	1.4384
3.5472	643.6108	1.4547
3.5588	573.8451	1.4659
3.5703	517.2458	1.4797
3.5819	471.7380	1.4967
3.5934	426.0487	1.5105
3.6050	375.5971	1.5247
3.6165	333.5305	1.5433
3.6281	292.8743	1.5598
3.6397	245.1657	1.5750
3.6512	198.7523	1.5926
3.6628	162.5889	1.6103
3.6743	131.8725	1.6263
3.6859	104.8507	1.6432
3.6974	87.9623	1.6591
3.7090	76.3296	1.6727
3.7205	65.8499	1.6847
3.7321	56.7784	1.6962
3.7436	50.0196	1.7074
3.7552	44.6431	1.7186
3.7668	39.2711	1.7305
3.7783	35.1951	1.7417
3.7899	31.9877	1.7527
3.8014	29.0504	1.7624
3.8130	25.9141	1.7709
3.8245	23.1038	1.7800
3.8361	20.7243	1.7893
3.8476	18.2824	1.7984
3.8592	16.0177	1.8087
3.8707	14.2860	1.8206
3.8823	12.8558	1.8314
3.8939	11.4952	1.8421
3.9054	10.3208	1.8538
3.9170	9.2611	1.8634
3.9285	8.2978	1.8712
3.9401	7.4147	1.8798
3.9516	6.7483	1.8880
3.9632	6.1317	1.8942
3.9747	5.4105	1.9013
3.9863	4.7194	1.9097
3.9978	4.0352	1.9157
4.0094	3.4791	1.9214
4.0210	2.9765	1.9291
4.0325	2.5717	1.9346
4.0441	2.2510	1.9383
4.0556	2.0171	1.9436
4.0672	1.7750	1.9474
4.0787	1.5661	1.9495
4.0903	1.3088	1.9525
4.1018	1.0183	1.9563
4.1134	0.8163	1.9589
4.1249	0.6075	1.9621
4.1365	0.3683	1.9667
4.1481	0.0703	1.9700
4.1596	0.0000	1.9726
4.1712	0.0000	1.9769
4.1827	0.0000	1.9811
4.1943	0.0000	1.9837
4.2058	0.0000	1.9872
4.2174	0.0000	1.9912
4.2289	0.0000	1.9920
4.2405	0.0000	1.9942
4.2520	0.0000	1.9978
4.2636	0.0000	2.0000
4.2752	0.0000	2.0000
4.2867	0.0000	2.0000
4.2983	0.0000	2.0000
4.3098	0.0000	2.0000
4.3214	0.0000	2.0000
4.3329	0.0000	2.0000
4.3445	0.0000	2.0000
4.3560	0.0000	2.0000
4.3676	0.0000	2.0000
4.3791	0.0000	2.0000
