0.00	0.00	0.05
0.21	0.00	0.05
0.43	0.00	0.05
0.64	0.00	0.05
0.85	0.00	0.05
1.07	0.00	0.05
1.28	0.00	0.05
1.49	0.00	0.05
1.71	0.00	0.05
1.92	0.00	0.05
2.13	0.00	0.05
2.34	0.00	0.05
2.56	0.00	0.05
2.77	0.00	0.05
2.98	0.00	0.05
3.20	0.00	0.05
3.41	0.00	0.05
3.62	0.00	0.05
3.84	0.00	0.05
4.05	0.00	0.05
4.26	0.00	0.05
4.48	0.00	0.05
4.69	0.00	0.05
4.90	0.00	0.05
5.12	0.00	0.05
5.33	0.00	0.05
5.54	0.00	0.05
5.76	0.00	0.05
5.97	0.00	0.05
6.18	0.00	0.05
6.39	0.00	0.05
6.61	0.00	0.05
6.82	0.00	0.05
7.03	0.00	0.05
7.25	0.00	0.05
7.46	0.00	0.05
7.67	0.00	0.05
7.89	0.00	0.05
8.10	0.00	0.05
8.31	0.00	0.05
8.53	0.00	0.05
8.74	0.00	0.05
8.95	0.00	0.05
9.17	0.00	0.05
9.38	0.00	0.05
9.59	0.00	0.05
9.81	0.00	0.05
10.02	0.00	0.05
10.23	0.00	0.05
10.44	0.00	0.05
10.66	0.00	0.05
10.87	0.00	0.05
11.08	0.00	0.05
11.30	0.00	0.05
11.51	0.00	0.05
11.72	0.00	0.05
11.94	0.00	0.05
12.15	0.00	0.05
12.36	0.00	0.05
12.58	0.00	0.05
12.79	0.00	0.05
13.00	0.00	0.05
13.22	0.00	0.05
13.43	0.00	0.05
13.64	0.00	0.05
13.86	0.00	0.05
14.07	0.00	0.05
14.28	0.00	0.05
14.49	0.00	0.05
14.71	0.00	0.05
14.92	0.00	0.05
15.13	0.00	0.05
15.35	0.00	0.05
15.56	0.00	0.05
15.77	0.00	0.05
15.99	0.00	0.05
16.20	0.00	0.05
16.41	0.00	0.05
16.63	0.00	0.05
16.84	0.00	0.05
17.05	0.00	0.05
17.27	0.00	0.05
17.48	0.00	0.05
17.69	0.00	0.05
17.90	0.00	0.05
18.12	0.00	0.05
18.33	0.00	0.05
18.54	0.00	0.05
18.76	0.00	0.05
18.97	0.00	0.05
19.18	0.00	0.05
19.40	0.00	0.05
19.61	0.00	0.05
19.82	0.00	0.05
20.04	0.00	0.05
20.25	0.00	0.05
20.46	0.00	0.05
20.68	0.00	0.05
20.89	0.00	0.05
21.10	0.00	0.05
21.32	0.00	0.05
21.53	0.00	0.05
21.74	0.00	0.05
21.95	0.00	0.05
22.17	0.00	0.05
22.38	0.00	0.05
22.59	0.00	0.05
22.81	0.00	0.05
23.02	0.00	0.05
23.23	0.00	0.05
23.45	0.00	0.05
23.66	0.00	0.05
23.87	0.00	0.05
24.09	0.00	0.05
24.30	0.00	0.05
24.51	0.00	0.05
24.73	0.00	0.05
24.94	0.00	0.05
