tpo	abs	sal
1.7220	2.3746	0.0011
1.7301	2.3361	0.0011
1.7382	2.2926	0.0011
1.7463	2.2495	0.0010
1.7545	2.1990	0.0010
1.7626	2.1596	0.0010
1.7707	2.1227	0.0010
1.7788	2.1012	0.0010
1.7869	2.0977	0.0010
1.7951	2.0926	0.0010
1.8032	2.0680	0.0009
1.8113	2.0580	0.0009
1.8194	2.0524	0.0009
1.8276	2.0087	0.0009
1.8357	1.9505	0.0009
1.8438	1.9288	0.0009
1.8519	1.9072	0.0009
1.8600	1.8664	0.0008
1.8682	1.8334	0.0008
1.8763	1.8365	0.0008
1.8844	1.8519	0.0008
1.8925	1.8373	0.0008
1.9007	1.8058	0.0008
1.9088	1.7950	0.0007
1.9169	1.7905	0.0007
1.9250	1.7567	0.0007
1.9331	1.7229	0.0007
1.9413	1.7201	0.0007
1.9494	1.7078	0.0007
1.9575	1.6781	0.0007
1.9656	1.6509	0.0006
1.9738	1.6434	0.0006
1.9819	1.6369	0.0006
1.9900	1.6207	0.0006
1.9981	1.6009	0.0006
2.0062	1.5831	0.0006
2.0144	1.5634	0.0005
2.0225	1.5329	0.0005
2.0306	1.5060	0.0005
2.0387	1.5106	0.0005
2.0469	1.5252	0.0005
2.0550	1.5120	0.0005
2.0631	1.5002	0.0005
2.0712	1.4883	0.0005
2.0793	1.4573	0.0005
2.0875	1.4177	0.0004
2.0956	1.3960	0.0004
2.1037	1.3890	0.0004
2.1118	1.3910	0.0004
2.1200	1.3773	0.0004
2.1281	1.3616	0.0004
2.1362	1.3634	0.0003
2.1443	1.3653	0.0003
2.1525	1.3500	0.0003
2.1606	1.3457	0.0003
2.1687	1.3399	0.0003
2.1768	1.3234	0.0003
2.1849	1.3011	0.0003
2.1931	1.2878	0.0003
2.2012	1.2753	0.0002
2.2093	1.2673	0.0002
2.2174	1.2740	0.0002
2.2256	1.2810	0.0002
2.2337	1.2717	0.0002
2.2418	1.2711	0.0002
2.2499	1.2870	0.0002
2.2580	1.2900	0.0002
2.2662	1.2870	0.0001
2.2743	1.2916	0.0001
2.2824	1.2905	0.0001
2.2905	1.2810	0.0001
2.2987	1.2830	0.0001
2.3068	1.2843	0.0001
2.3149	1.2820	0.0001
2.3230	1.2835	0.0001
2.3311	1.2810	0.0001
2.3393	1.2564	0.0001
2.3474	1.2248	0.0000
2.3555	1.2080	0.0000
2.3636	1.2032	0.0000
2.3718	1.1971	0.0000
2.3799	1.1830	0.0000
2.3880	1.1870	0.0000
2.3961	1.1910	0.0000
2.4042	1.1830	0.0001
2.4124	1.1781	0.0006
2.4205	1.1877	0.0008
2.4286	1.1990	0.0030
2.4367	1.2024	0.0042
2.4449	1.2039	0.0090
2.4530	1.2421	0.0105
2.4611	1.2974	0.0187
2.4692	1.4051	0.0222
2.4774	1.5688	0.0325
2.4855	1.8687	0.0417
2.4936	2.2412	0.0490
2.5017	2.7514	0.0520
2.5098	3.3212	0.0626
2.5180	4.3402	0.0681
2.5261	5.5563	0.0733
2.5342	8.1179	0.0819
2.5423	10.8821	0.0957
2.5505	16.9877	0.1030
2.5586	24.7844	0.1130
2.5667	40.5792	0.1271
2.5748	55.6250	0.1377
2.5829	78.5865	0.1428
2.5911	104.7763	0.1528
2.5992	139.1739	0.1646
2.6073	169.1781	0.1761
2.6154	202.7761	0.1893
2.6236	231.7342	0.1981
2.6317	259.4526	0.2116
2.6398	280.8037	0.2216
2.6479	296.2402	0.2359
2.6560	303.2422	0.2433
2.6642	304.2286	0.2572
2.6723	301.6843	0.2658
2.6804	293.5090	0.2806
2.6885	285.8471	0.2869
2.6967	274.3755	0.3014
2.7048	264.1184	0.3092
2.7129	250.3570	0.3252
2.7210	240.2032	0.3308
2.7291	228.5211	0.3459
2.7373	219.1354	0.3531
2.7454	208.3207	0.3692
2.7535	200.6296	0.3741
2.7616	192.9072	0.3887
2.7698	187.9742	0.3951
2.7779	182.0194	0.4109
2.7860	177.5796	0.4154
2.7941	172.4572	0.4296
2.8022	168.9873	0.4357
2.8104	164.5834	0.4515
2.8185	161.2840	0.4560
2.8266	157.3072	0.4704
2.8347	154.0986	0.4773
2.8429	150.2924	0.4933
2.8510	146.5780	0.4995
2.8591	140.9500	0.5134
2.8672	135.2286	0.5219
2.8754	129.3477	0.5350
2.8835	122.9869	0.5443
2.8916	115.5037	0.5571
2.8997	109.5386	0.5664
2.9078	103.3851	0.5782
2.9160	98.2953	0.5879
2.9241	92.5938	0.5996
2.9322	87.8625	0.6094
2.9403	82.9513	0.6207
2.9485	78.9942	0.6309
2.9566	74.5202	0.6421
2.9647	70.8132	0.6525
2.9728	66.9886	0.6632
2.9809	63.9472	0.6737
2.9891	60.7278	0.6842
2.9972	57.7418	0.6946
3.0053	54.7317	0.7051
3.0134	52.1535	0.7159
3.0216	49.6180	0.7265
3.0297	47.3096	0.7375
3.0378	44.9952	0.7484
3.0459	42.9198	0.7598
3.0540	41.0239	0.7711
3.0622	39.2181	0.7827
3.0703	37.4622	0.7943
3.0784	35.6028	0.8056
3.0865	34.0052	0.8169
3.0947	32.3720	0.8277
3.1028	30.7963	0.8392
3.1109	29.1090	0.8497
3.1190	27.6995	0.8612
3.1271	26.2914	0.8718
3.1353	25.1070	0.8844
3.1434	23.8991	0.8951
3.1515	22.8489	0.9077
3.1596	21.7166	0.9175
3.1678	20.9168	0.9307
3.1759	20.0030	0.9402
3.1840	19.2470	0.9532
3.1921	18.3812	0.9622
3.2002	17.7833	0.9765
3.2084	17.0509	0.9854
3.2165	16.4060	0.9997
3.2246	15.6586	1.0073
3.2327	15.0875	1.0225
3.2409	14.4022	1.0296
3.2490	13.9135	1.0440
3.2571	13.3422	1.0498
3.2652	12.8736	1.0654
3.2734	12.2956	1.0715
3.2815	11.9014	1.0877
3.2896	11.4174	1.0924
3.2977	11.0382	1.1103
3.3058	10.5905	1.1160
3.3140	10.3306	1.1332
3.3221	9.9875	1.1381
3.3302	9.7078	1.1562
3.3383	9.3534	1.1624
3.3465	9.0885	1.1793
3.3546	8.7944	1.1844
3.3627	8.5583	1.2009
3.3708	8.2579	1.2072
3.3789	8.0159	1.2217
3.3871	7.7404	1.2268
3.3952	7.5272	1.2409
3.4033	7.2747	1.2472
3.4114	7.1037	1.2598
3.4196	6.9424	1.2651
3.4277	6.8464	1.2780
3.4358	6.7169	1.2851
3.4439	6.6233	1.2978
3.4520	6.5204	1.3044
3.4602	6.4015	1.3172
3.4683	6.2750	1.3252
3.4764	6.1702	1.3313
3.4845	6.0333	1.3407
3.4927	5.8963	1.3554
3.5008	5.7566	1.3645
3.5089	5.6525	1.3742
3.5170	5.5609	1.3882
3.5251	5.5173	1.3990
3.5333	5.4970	1.4048
3.5414	5.4984	1.4136
3.5495	5.5030	1.4245
3.5576	5.5380	1.4296
3.5658	5.5856	1.4395
3.5739	5.6232	1.4527
3.5820	5.6796	1.4646
3.5901	5.7274	1.4729
3.5982	5.7365	1.4861
3.6064	5.6738	1.4928
3.6145	5.6185	1.5065
3.6226	5.5103	1.5143
3.6307	5.4002	1.5292
3.6389	5.2940	1.5355
3.6470	5.2136	1.5505
3.6551	5.1143	1.5577
3.6632	5.0258	1.5740
3.6714	4.9413	1.5797
3.6795	4.8626	1.5956
3.6876	4.7817	1.6022
3.6957	4.7438	1.6190
3.7038	4.6852	1.6241
3.7120	4.6337	1.6396
3.7201	4.5457	1.6454
3.7282	4.4624	1.6609
3.7363	4.3191	1.6654
3.7445	4.1911	1.6798
3.7526	4.0295	1.6849
3.7607	3.9033	1.6995
3.7688	3.7633	1.7041
3.7769	3.6455	1.7170
3.7851	3.4929	1.7227
3.7932	3.3900	1.7352
3.8013	3.2694	1.7406
3.8094	3.1671	1.7516
3.8176	3.0447	1.7577
