tpo	abs	sal
1.7220	0.0865	0.0010
1.7301	0.0895	0.0010
1.7382	0.0876	0.0010
1.7463	0.0716	0.0010
1.7545	0.0567	0.0010
1.7626	0.0453	0.0010
1.7707	0.0337	0.0009
1.7788	0.0370	0.0009
1.7869	0.0496	0.0009
1.7951	0.0534	0.0009
1.8032	0.0540	0.0009
1.8113	0.0651	0.0009
1.8194	0.0790	0.0008
1.8276	0.0730	0.0008
1.8357	0.0620	0.0008
1.8438	0.0650	0.0008
1.8519	0.0710	0.0008
1.8600	0.0620	0.0007
1.8682	0.0559	0.0007
1.8763	0.0602	0.0007
1.8844	0.0698	0.0007
1.8925	0.0635	0.0007
1.9007	0.0565	0.0007
1.9088	0.0506	0.0007
1.9169	0.0433	0.0006
1.9250	0.0390	0.0006
1.9331	0.0432	0.0006
1.9413	0.0471	0.0006
1.9494	0.0490	0.0006
1.9575	0.0400	0.0006
1.9656	0.0241	0.0006
1.9738	0.0312	0.0005
1.9819	0.0498	0.0005
1.9900	0.0540	0.0005
1.9981	0.0579	0.0005
2.0062	0.0670	0.0005
2.0144	0.0545	0.0005
2.0225	0.0412	0.0004
2.0306	0.0372	0.0004
2.0387	0.0543	0.0004
2.0469	0.0810	0.0004
2.0550	0.0808	0.0004
2.0631	0.0620	0.0004
2.0712	0.0520	0.0004
2.0793	0.0330	0.0004
2.0875	0.0070	0.0004
2.0956	0.0014	0.0004
2.1037	0.0245	0.0004
2.1118	0.0452	0.0004
2.1200	0.0269	0.0004
2.1281	0.0135	0.0004
2.1362	0.0253	0.0004
2.1443	0.0173	0.0004
2.1525	0.0000	0.0004
2.1606	0.0152	0.0004
2.1687	0.0286	0.0004
2.1768	0.0265	0.0004
2.1849	0.0250	0.0004
2.1931	0.0289	0.0004
2.2012	0.0371	0.0004
2.2093	0.0532	0.0004
2.2174	0.0764	0.0004
2.2256	0.0841	0.0004
2.2337	0.0553	0.0004
2.2418	0.0338	0.0004
2.2499	0.0366	0.0004
2.2580	0.0247	0.0003
2.2662	0.0144	0.0003
2.2743	0.0403	0.0003
2.2824	0.0639	0.0003
2.2905	0.0640	0.0003
2.2987	0.0690	0.0003
2.3068	0.0651	0.0002
2.3149	0.0392	0.0002
2.3230	0.0172	0.0002
2.3311	0.0000	0.0002
2.3393	0.0000	0.0002
2.3474	0.0000	0.0002
2.3555	0.0000	0.0001
2.3636	0.0306	0.0001
2.3718	0.0584	0.0001
2.3799	0.0806	0.0001
2.3880	0.0978	0.0000
2.3961	0.0987	0.0000
2.4042	0.0915	0.0000
2.4124	0.1065	0.0000
2.4205	0.1199	0.0002
2.4286	0.1323	0.0004
2.4367	0.1516	0.0011
2.4449	0.1541	0.0020
2.4530	0.1336	0.0036
2.4611	0.1169	0.0065
2.4692	0.1013	0.0098
2.4774	0.0677	0.0151
2.4855	0.0433	0.0195
2.4936	0.0189	0.0289
2.5017	0.0000	0.0342
2.5098	0.0000	0.0478
2.5180	0.0000	0.0581
2.5261	0.0000	0.0660
2.5342	0.0000	0.0714
2.5423	0.0000	0.0876
2.5505	0.0000	0.0910
2.5586	0.0000	0.1026
2.5667	0.0000	0.1160
2.5748	0.0000	0.1330
2.5829	0.0000	0.1375
2.5911	0.0000	0.1548
2.5992	0.0000	0.1574
2.6073	0.0000	0.1727
2.6154	0.0000	0.1763
2.6236	0.0000	0.1917
2.6317	0.0000	0.1939
2.6398	0.0000	0.2085
2.6479	0.0000	0.2117
2.6560	0.0000	0.2290
2.6642	0.0000	0.2319
2.6723	0.0000	0.2497
2.6804	0.0000	0.2550
2.6885	0.0000	0.2742
2.6967	0.0000	0.2798
2.7048	0.0000	0.2978
2.7129	0.0000	0.3055
